Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
53,58,20,13-Sep-16,3:30 PM,3:45 PM,C,Var,7.5,6,6,Glasgow St.,Lane,1,N,Res,N/A,N,N,N,Y,N,Y,N,9,8,Curb-Metal grates,2,N,,Street,N: 43.65666W:79.39832,*,"across laneway from Glasgow St Parkette, There is a litter bin that is not labeled as a city litter bin. Residential Auto carts are out",17,9,26
54,59,20,15-Sep-16,12:14 PM,12:34 PM,C,Var,18,10,14,Elm St.,Minor,2,N,Com-Res,N/A,N,Y,N,Y,N,Y,N,4,26,"Curb-Elevated
side walk",2,N,,Ave,"N: 43.65623
W:79.38979",*,,28,20,48
55,60,20,12-Sep-16,3:05 PM,3:16 PM,A,Var,10,10,10,Oxley St.,Minor,2,N,Com,N/A,Y,N,N,N,N,Y,N,7,26,Curb,1,N,,Street,"N:43.646207
W:79.39473",,,2,3,5
56,61,27,13-Sep-16,3:10 PM,3:22 PM,B,Var,10,18,18,Grenville St.,Minor,2,N,Com,N/A,Y,N,N,Y,Y,Y,Y,8.5,12,Curb,1,N,"Litter bin on Bay, one in front of Police station",Street,N: 43.66172W:79.38928,*,"site located by Woman's College Hospital, moved site closer to intersection of Bay St and Grenville due to construction",47,17,64
57,62,20,20-Sep-16,9:46 AM,9:56 AM,B,Var,6.5,6.5,7,Old Park Rd.,Minor,2,Y,Res,3 to 6,N,N,N,N,N,Y,N,1,4,"Curb-Grass
Line",1,N,,Road,"N:43.702858
W:79.4732184",,across from elementary school.,8,1,9
58,63,20,20-Sep-16,8:47 AM,9:06 AM,B,Var,2,2,2,Vesta Dr.,Minor,2,N,Res,N/A,N,N,N,N,N,N,N,1,3,Curb,1,N,,Drive,"N:43.701059
W:79.421058",,,37,3,40
59,64,21,20-Sep-16,9:30 AM,9:35 AM,B,Var,2,2,2,Ava Rd.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,2,0,Curb,1,N,,Road,"N:43.697515
W:79.422191",,,1,2,3
60,65,21,20-Sep-16,9:12 AM,9:22 AM,B,Var,9.5,9.5,10,Vesta Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,7,4,"Curb-Grass
Line",1,N,,Drive,"N:43.697692
W:79.419561",,Construction on site,7,4,11
61,66,21,20-Sep-16,2:05 PM,2:16 PM,B,Var,5.9,5.9,4.9,Bathurst St.,Major,4,N,Res,N/A,Y,Y,N,N,Y,Y,N,7,4,"Curb-Stone
walls",1,N,,Street,"N:43.687363
W:79.420017",,,16,3,19
62,67,7,16-Sep-16,1:10 PM,1:17 PM,A,Var,16,16,17,Windhill Cres.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,14,2,"Curb-Grass
Line",1,N,,Crescent,"N:43.746121
W:79.546494",,Start in front of house #64,18,3,21
63,68,7,16-Sep-16,12:50 PM,12:55 PM,A,Var,2,2,2,Franson Cres.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,3,"Curb-Grass
Line",1,N,,Crescent,"N:43.740907
W:79.542726",,"bound by curb and residential
property. 2 divided city bins",7,3,10
64,69,9,21-Sep-16,10:47 AM,11:00 AM,C,Var,14.5,14.5,14.5,Wilson Ave.,Major,4,N,Res,<3,N,Y,N,Y,Y,Y,Y,20,45,"Curb-Grass
Line",2,N,,Ave,"N:43.723595
W:79.493111",,"adjacent to large apartment
complex and across Wilson from
School Yard",40,18,58
65,70,8,21-Sep-16,10:22 AM,10:35 AM,C,Fixed,18,18,18,Tuscan Gate,Minor,2,N,Com,<3,N,N,N,N,Y,Y,N,36,12,"Curb-Grass
Line",2,N,,Gate,"N:43.754137
W:79.483471",,,31,4,35
66,71,10,21-Sep-16,1:48 PM,1:54 PM,C,Var,2,2,2,Josephine Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,0,"Curb-Grass
Line",1,N,,Road,"N: 43.74353
W:79.44755",*,"Public litter bin in front of
synagogue",2,2,4
67,72,10,21-Sep-16,2:03 PM,2:12 PM,C,Var,2,2,2,Heaton St.,Minor,2,N,Res-Ind,3 to 6,N,N,N,Y,N,Y,N,4,1,"Curb-Grass
Line",1,N,,Street,"N:43.75766
W:79.440932",,"along side a congregation and
has commercial complex to
south west",5,0,5
68,73,23,16-Sep-16,11:40 AM,11:50 AM,B,Var,2,2,2,Newtonbrook Blvd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,10,2,"Fence-Hedge-
Curb-Grass",1,N,,Blvd,"N:43.483738
W:79.423247",,,8,5,13
69,74,23,16-Sep-16,11:15 AM,11:31 AM,B,Var,17,17,13,Churchill Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,37,6,"Curb-Grass
Line",2,N,,Ave,"N:43.770336
W:79.42859",,,14,5,19
70,75,23,16-Sep-16,11:01 AM,11:10 AM,B,Var,8.5,8.5,8.5,Tamworth Rd.,Minor,2,N,Res,over 6,N,N,N,N,N,Y,N,7,1,"Curb-Grass
Line",1,N,,Road,"N:43.772356
W:79.420428",,,5,4,9
71,76,23,16-Sep-16,10:45 AM,10:56 AM,B,Var,18,18,10,Tamworth Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3.5,6,"Hedge-Curb-
Grass Line",1,N,,Road,"N:43.768176
W:79.418767",,"2 Litter bins across street on
Northtown Way",1,4,5
72,77,23,16-Sep-16,10:20 AM,10:34 AM,B,Fixed,18,18,18,Doris Ave.,Walkway,4,N,Res,3 to 6,N,Y,N,N,N,Y,Y,18,22,"Curb-Grass-
Tree Line",2,N,,Ave,"N:43.775581
W:79.412541",,Park Walkway,7,5,12
73,78,23,16-Sep-16,9:58 AM,10:04 AM,B,Var,2,2,2,Byng Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,9,1,Curb,1,N,,Ave,"N:43.779743
W:79.401193",,"no sidewalk on site location, but
one is present across the street",2,1,3
74,79,24,16-Sep-16,11:58 AM,12:09 PM,B,Fixed,18,18,18,Dumont St.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,20,7,"Curb-Grass
Line",1,N,,Street,"N:43.794329
W:79.415154",,,8,1,9
75,80,24,16-Sep-16,12:22 PM,12:29 PM,B,Var,2,2,2,Michigan Dr.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,6.5,1,Curb,1,N,,Drive,"N:43.799558
W:79.407814",,,0,0,0
76,81,24,16-Sep-16,9:42 AM,9:50 AM,B,Var,2,2,2,Wycliffe Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,4,4,Curb,1,N,,Ave,"N:43.775047
W:79.388901",,"new house being build across
the street from section 1 of
small litter survey. No sidewalks
along the site",4,0,4
77,82,33,16-Sep-16,7:56 AM,8:08 AM,B,Var,17.5,16,10,Cobblestone St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,0,"Curb-Grass
Line",1,N,,Street,"N:43.786345
W:79.364541",,Litter bin at bus stop on corner,3,0,3
78,83,33,16-Sep-16,8:30 AM,8:50 AM,B,Fixed,18,18,18,Leslie St.,Major,4,N,Res,over 6,N,N,N,N,Y,Y,Y,35.5,11,"Curb-Grass
Line",4,N,,Street,"N:43.781306
W:79.365762",,,15,10,25
